,DANSKE.CO,JYSK.CO,MAERSK-B.CO,TKA.DE,GMAB.CO,ORSTED.CO,RILBA.CO,ASTK.OL,DFDS.CO,SECU-B.ST,NOKIA.HE,CHR.CO,VWS.CO,FLS.CO,ACI,KHC,GN.CO
longBusinessSummary,"Danske Bank A/S provides various banking products and services to corporate, institutional, and international clients. The company offers corporate finance services, investment and debt capital markets products, merger and acquisition advisory services, equity and loan capital markets services, international payments, cash management, credit transfer, and supply chain and trade finance services. It also provides solutions for sustainable finance, derivatives, fixed income, foreign exchange, equities trading, cash flow forecast, collection services, financial platform, export finance, letter of credit, liquidity management, factoring, working capital management, guarantees, and in-house bank. In addition, it offers custody, depositary, data management, post-trade, bank and middle office, collateral management, and derivatives clearing services. The company has operations in Denmark, Finland, Sweden, Norway, the United Kingdom, and internationally. Danske Bank A/S was founded in 1871 and is headquartered in Copenhagen, Denmark.","Jyske Bank A/S provides various financial solutions in Denmark and Germany. It operates through Banking Activities, Mortgage Activities, and Leasing Activities segments. The Banking Activities segment provides advisory services relating to traditional financial solutions for personal and personal banking, and corporate clients; and trading and investment services, including trading in interest rate products, currencies, equities, commodities, and derivatives for corporate and institutional clients. The Mortgage Activities segment offers financial solutions for the financing of real property to Danish personal clients, corporate clients, and subsidized rental housing. The Leasing Activities segment provides financial solutions in the form of leasing and financing within car financing, as well as leasing and financing of equipment for the corporate sector. It serves Danish personal and corporate clients, as well as dealer cooperation schemes and partnerships. The company was incorporated in 1917 and is headquartered in Silkeborg, Denmark.","A.P. Møller - Mærsk A/S operates as an integrated transport and logistics company worldwide. The company's Ocean segment engages in container shipping activities, including demurrage and detention, terminal handling, documentation and container services, and container storage, as well as transshipment services under Maersk Line, Safmarine, Sealand  A Maersk Company, Hamburg Süd, and APM Terminal brands; and sale of bunker oil. Its Logistics & Services segment offers sea and air freight forwarding, supply chain management, cold chain logistics, and custom services, services. The company's Terminals & Towage segment is involved in Gateway terminal activities, and offshore towage, salvage and related marine activities under APM Terminals brand. Its Manufacturing & Others segment engages in the production of reefer containers; anchor handling tug supply vessels and subsea support vessels, and training services to the maritime, oil and gas, offshore wind, and crane industries. The company was founded in 1904 and is based in Copenhagen, Denmark.","thyssenkrupp AG operates in the areas of materials services, industrial components, automotive technology, steel, and marine systems in Germany, the United States, China, and internationally. The company's Materials Services segment distributes materials and offers technical services for the production and manufacturing sectors. Its Industrial Components segment manufactures and sells forged components and system solutions for the resource, construction, and mobility sectors; and slewing rings, antifriction bearings, and seamless rolled rings for the wind energy and construction machinery sectors. The company's Automotive Technology segment develops and manufactures components and systems, as well as automation solutions for the vehicle manufacturing. Its Steel Europe segment provides flat carbon steel products, intelligent material solutions, and finished parts. The company's Marine Systems segment offers systems in the submarine and surface vessel construction, as well as in the field of maritime electronics and security technology. thyssenkrupp AG was founded in 1811 and is headquartered in Essen, Germany.","Genmab A/S develops antibody therapeutics for the treatment of cancer and other diseases primarily in Denmark. The company markets DARZALEX, a human monoclonal antibody for the treatment of patients with multiple myeloma (MM); teprotumumab for the treatment of thyroid eye disease; ofatumurnab, a human monoclonal antibody to treat chronic lymphocytic leukemia (CLL) and multiple sclerosis; and Amivantamab for advanced or metastatic gastric or esophageal cancer and NSCLC. Its products include daratumumab to treat MM, non-MM blood cancers, and AL amyloidosis; GEN1047; tisotumab vedotin for treating cervical, ovarian, and solid cancers; DuoBody-PD-L1x4-1BB, and DuoBody-CD40x4-1BB for treating solid tumors; Epcoritamab for relapsed/refractory diffuse large B-cell lymphoma and chronic lymphocytic leukemia; and HexaBody-CD38 and DuoHexaBody-CD37 for treating hematological malignancies. The company's also develops products, which is in Phase 2 comprise Teclistamab for vaso-occlusive crises; Camidanlumab tesirine to treat hodgkin lymphoma and solid tumors; JNJ-64007957 and JNJ-64407564 to treat MM; PRV-015 for treating celiac disease; Mim8 for treating haemophilia A; and Lu AF82422 for treating multiple system atrophy disease. In addition, it has approximately 20 active pre-clinical programs. The company has a commercial license and collaboration agreement with Seagen Inc. to co-develop tisotumab vedotin. It also has a collaboration agreement with CureVac AG for the research and development of differentiated mRNA-based antibody products; AbbVie for the development of epcoritamab; and collaborations with BioNTech, Janssen, Novo Nordisk A/S, BliNK Biomedical SAS, and Bolt Biotherapeutics, Inc. Genmab A/S was founded in 1999 and is headquartered in Copenhagen, Denmark.","Ørsted A/S, together with its subsidiaries, develops, constructs, owns, and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants. It operates through Offshore, Onshore, and Markets & Bioenergy segments. The Offshore segment develops, constructs, owns, and operates offshore wind farms in the United Kingdom, Germany, Denmark, the Netherlands, the United States, Taiwan, Japan, and South Korea. The Onshore segment develops, owns, and operates onshore wind and solar farms in the United States. The Markets & Bioenergy segment engages in the generation of heat and power from combined heat and power plants in Denmark; sells power and gas in the wholesale and B2B markets; and optimizes and hedges energy portfolio. The company was formerly known as DONG Energy A/S and changed its name to Ørsted A/S in November 2017. Ørsted A/S was founded in 1972 and is headquartered in Fredericia, Denmark.","Ringkjøbing Landbobank A/S provides various banking products and services in Denmark. It offers various deposit products; loans and guarantees; mortgage credit bonds; securities trading; asset management; custody accounts; foreign exchange; and payment handling services. Ringkjøbing Landbobank A/S was founded in 1886 and is headquartered in Ringkøbing, Denmark.","Asetek A/S, together with its subsidiaries, engages in the designing, developing, and marketing of liquid cooling solutions in Asia, Europe, and the Americas. The company operates in two segments, Gaming and Enthusiast; and Data Center. Its products are used in personal computers, servers, and data centers to provide improved performance, acoustics, and energy efficiency. It serves original equipment manufacturers, resellers, and channel partners. Asetek A/S was founded in 1997 and is headquartered in Aalborg, Denmark.","DFDS A/S provides logistics solutions in Denmark and internationally. The company operates through Ferry and Logistics divisions. The Ferry division operates ferry routes in and around Europe transporting freight units, primarily trailers and passengers, as well as offers port terminal services. This division provides ferry services primarily to forwarders and hauliers, as well as manufacturers of heavy industrial goods, such as automotive, forest and paper products, metals, and chemicals; and operates passenger ships for passengers with own cars, mini cruises, business conferences, refuse derived fuel, and tour operators. The Logistics division provides transport solutions for full- and part loads; contract logistics solutions, including warehousing. This division serves manufacturers of industrial goods and consumables, as well as retailers. The company operates 45 freight ferries, 17 freight and passenger ferries, 4 cruise ferries, and 15 side port ships. DFDS A/S was founded in 1866 and is headquartered in Copenhagen, Denmark.","Securitas AB (publ) provides security services in North America, Europe, Latin America, Africa, the Middle East, Asia, and Australia. The company operates through three segments: Security Services North America, Security Services Europe, and Security Services Ibero-America. It offers on-site guarding, mobile patrol, loss prevention, canine security, track and trace, and reception services, as well as operates Securitas operation centers. The company also provides alarm verification, access management, area protection, remote patrolling, business intelligent, and video surveillance services. In addition, it offers physical security, screening, airline security, hospitality, and consultancy related services. Further, the company provides system design and installation, fire and safety, risk management, intelligent security, and home alarm services. Securitas AB (publ) was founded in 1934 and is headquartered in Stockholm, Sweden.","Nokia Oyj provides mobile, fixed, and cloud network solutions worldwide. The company operates through four segments: Mobile Networks, Network Infrastructure, Cloud and Network Services, and Nokia Technologies. It offers products and services for radio access networks covering technologies from 2G to 5G, and microwave radio links for transport networks. The company provides fixed networking solutions, such as fiber and copper-based access infrastructure, and cloud and virtualization services, as well as wi-fi portfolio, including mesh solutions and cloud-based controllers; IP routing solutions for IP aggregation, and edge and core applications for residential, business, mobile, and industrial services; a portfolio of optical networks comprising portfolio coherent optical transponders, optical transport network switchers, wavelength-division multiplexers, reconfigurable optical add-drop multiplexer solutions, and optical line systems for metro access and aggregation, data center interconnect, regional, and long-haul/ultra-long-haul applications; and submarine networks. In addition, it offers business applications software, cloud and cognitive services, core networks software, and enterprise solutions. Further, the company provides hardware, software, and services, as well as licensing of intellectual property, including patents, technologies, and the Nokia brand. It serves communications service providers, webscales, hyperscalers, digital industries, and government. Nokia Oyj was founded in 1865 and is headquartered in Espoo, Finland.","Chr. Hansen Holding A/S, a bioscience company, develops natural ingredient solutions for the food, nutritional, pharmaceutical, and agricultural industries in Europe, the Middle East, Africa, North America, Latin America, and the Asia Pacific. The company operates through Food Cultures & Enzymes, and Health & Nutrition segments. The Food Cultures & Enzymes segment produces and sells various cultures, enzymes, and probiotic products that determine the taste, flavor, texture, shelf life, nutritional value, and health benefits of various consumer products in the food industry, primarily in the dairy industry. The Health & Nutrition segment produces and sells products for the dietary supplement, over-the-counter pharmaceutical, infant formula, animal feed, and plant protection industries. It has a strategic collaboration with UPL Ltd. to develop and commercialize microbial-based bio solutions for sustainable agriculture. The company was founded in 1843 and is headquartered in Hørsholm, Denmark.","Vestas Wind Systems A/S designs, manufactures, installs, and services wind turbines worldwide. The company operates in two segments, Power Solutions and Service. The Power Solutions segment sells wind power plants, wind turbines, development sites, etc. The Service segment engages in the sale of service contracts, spare parts, and related activities. The company was founded in 1898 and is headquartered in Aarhus, Denmark.","FLSmidth & Co. A/S provides engineering, equipment, and service solutions for mining and cement industries in North America, South America, Europe, North Africa, Russia, Asia, Sub-Saharan Africa, the Middle East, subcontinental India, and Australia. The company offers various products, systems, and services, including crushers, ball mills, pumps, gravity concentrators, thickeners, flotation cells, automated laboratories, bundled equipment, full production plants, and maintenance solutions for the mining industry. It also provides mills, kiln systems and clinker coolers, feeding and packaging machines, complete cement plants, maintenance, and remote online support for the cement industry. The company was founded in 1882 and is headquartered in Valby, Denmark.","Albertsons Companies, Inc., through its subsidiaries, engages in the operation of food and drug stores in the United States. The company's food and drug retail stores offer grocery products, general merchandise, health and beauty care products, pharmacy, fuel, and other items and services. It also manufactures and processes food products for sale in stores. As of February 26, 2022, it operated 2,276 stores under various banners, including Albertsons, Safeway, Vons, Pavilions, Randalls, Tom Thumb, Carrs, Jewel-Osco, Acme, Shaw's, Star Market, United Supermarkets, Market Street, Haggen, Kings Food Markets, and Balducci's Food Lovers Market; and 1,722 pharmacies, 1,317 in-store branded coffee shops, 402 adjacent fuel centers, 22 distribution centers, and 20 manufacturing facilities, as well as various digital platforms. The company was founded in 1860 and is headquartered in Boise, Idaho.","The Kraft Heinz Company, together with its subsidiaries, manufactures and markets food and beverage products in the United States, Canada, the United Kingdom, and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee, and other grocery products. The company also offers dressings, healthy snacks, and other categories; and spices and other seasonings. It sells its products through its own sales organizations, as well as through independent brokers, agents, and distributors to chain, wholesale, cooperative and independent grocery accounts, convenience stores, drug stores, value stores, bakeries, pharmacies, mass merchants, club stores, and foodservice distributors and institutions, including hotels, restaurants, hospitals, health care facilities, and government agencies; and online through various e-commerce platforms and retailers. The company was formerly known as H.J. Heinz Holding Corporation and changed its name to The Kraft Heinz Company in July 2015. The Kraft Heinz Company was founded in 1869 and is headquartered in Pittsburgh, Pennsylvania.","GN Store Nord A/S develops, manufactures, and markets audio and video communications solutions for medical, professional, and consumer technology solutions in Denmark, rest of Europe, North America, and internationally. It operates in two segments, GN Hearing and GN Audio. The GN Hearing segment produces and sells hearing instruments and products. The GN Audio segment supplies headsets, video cameras, and speakerphones for professional use and consumer products. It offers its products under the ReSound, Beltone, Interton, Jabra, BlueParrott, FalCom, and Audigy brands. GN Store Nord A/S was founded in 1869 and is based in Ballerup, Denmark."
longName,Danske Bank A/S,Jyske Bank A/S,A.P. Møller - Mærsk A/S,thyssenkrupp AG,Genmab A/S,Ørsted A/S,Ringkjøbing Landbobank A/S,Asetek A/S,DFDS A/S,Securitas AB (publ),Nokia Oyj,Chr. Hansen Holding A/S,Vestas Wind Systems A/S,FLSmidth & Co. A/S,"Albertsons Companies, Inc.",The Kraft Heinz Company,GN Store Nord A/S
market,dk_market,dk_market,dk_market,de_market,dk_market,dk_market,dk_market,no_market,dk_market,se_market,fi_market,dk_market,dk_market,dk_market,us_market,us_market,dk_market
marketCap,116926103552,29085943808,270908014592,3641811968,198412500992,265638674432,25755422720,319899200,14110486528,49408438272,24576542720,65537794048,200077688832,14178375680,11305944064,49634164736,19501037568
maxAge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
maxSupply,,,,,,,,,,,,,,,,,
messageBoardId,finmb_558679,finmb_874628,finmb_875418,finmb_841504,finmb_665704,finmb_6492833,finmb_4481285,finmb_25262375,finmb_874558,finmb_621976,finmb_205573,finmb_12740177,finmb_36246,finmb_874582,finmb_317807696,finmb_278212,finmb_915717
morningStarOverallRating,,,,,,,,,,,,,,,,,
morningStarRiskRating,,,,,,,,,,,,,,,,,
mostRecentQuarter,1664496000,1664496000,1664496000,1664496000,1664496000,1664496000,1664496000,1664496000,1664496000,1664496000,1664496000,1661904000,1664496000,1664496000,1662768000,1663977600,1664496000
navPrice,,,,,,,,,,,,,,,,,
netIncomeToCommon,-5775000064,2835000064,30342000640,1127000064,5654000128,18185000960,1390622976,-2649000,1876000000,3684000000,1727000064,225100000,-993000000,607000000,1442099968,1216000000,670000000
nextFiscalYearEnd,1703980800,1703980800,1703980800,1727654400,1703980800,1703980800,1703980800,1703980800,1703980800,1703980800,1703980800,1725062400,1703980800,1703980800,1708905600,1703462400,1703980800
numberOfAnalystOpinions,22,5,21,14,22,23,4,,3,12,25,10,,9,15,21,18
open,136.9,453.4,15320,5.788,3005,631.3,930,12.58,242.4,86.26,4.359,497,196.04,242.2,20.95,40.4,149
openInterest,,,,,,,,,,,,,,,,,
operatingCashflow,-14968000512,17763000320,34155999232,617000000,3755000064,-8322999808,,-3333000,4241999872,6208999936,1392999936,308800000,-845000000,1041000000,3027800064,4432999936,318000000
operatingMargins,0.29398,0.41963002,0.39488,0.03398,0.37549,0.10451,0.66493,-0.080019996,0.088929996,0.05013,0.08733,0.26749,-0.030030001,0.05242,0.03417,0.19149,0.07775
payoutRatio,,0,0.2299,0,0,0.2887,0.1419,0,0.1221,0.4354,0.1333,0.5143,,0.2752,0.1672,1.6327001,0.29639998
pegRatio,-2.97,0.31,0,0.21,1.03,-5.11,2.26,-2.83,0.56,1.55,1.22,0.05,-2.59,1.14,0.86,-12.67,0.9
phone,45 33 44 00 00,45 89 89 89 89,45 33 63 33 63,49 201 844 0,45 70 20 27 28,45 99 55 11 11,45 97 32 11 66,45 96 45 00 47,45 33 42 33 42,46 1 04 70 30 00,358 1044 88000,45 45 74 74 74,45 97 30 00 00,45 36 18 18 00,208 395 6200,412 456 5700,45 45 75 00 00
preMarketPrice,,,,,,,,,,,,,,,,,
previousClose,136.3,452.7,15450,5.766,2994,631.9,930,12.58,240.8,86.24,4.35,496.9,196.24,243,20.98,40.36,148
priceHint,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
priceToBook,0.747661,0.74329215,4.8224344,0.25643274,7.360552,5.2024713,2.8117626,6.7835617,1.1149434,1.1683581,1.241394,35.933327,53.884212,1.2246997,2.5683722,1.0326197,2.7120903
priceToSalesTrailing12Months,2.6366181,3.1440864,3.2951167,0.08852241,16.552307,2.087304,9.777441,5.3981404,0.5542653,0.4010588,1.0293409,53.807713,14.036599,0.6919994,0.15006243,1.922836,1.1132635
profitMargins,-0.12597999,0.32202,0.36905998,0.027609998,0.47168,0.14636,0.52792,-0.044699997,0.07369,0.0299,0.07422,0.18481001,-0.06966,0.02933,0.022650002,0.04711,0.03825
quickRatio,,,2.477,1.121,9.618,0.476,,0.492,0.438,0.144,1.283,0.787,0.404,0.906,0.493,0.351,0.519
quoteType,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY
recommendationKey,buy,hold,buy,hold,hold,buy,buy,underperform,buy,hold,buy,hold,sell,hold,hold,hold,buy
recommendationMean,2.3,2.6,2.4,2.6,2.6,2.5,1.7,4,1.7,2.9,2,3,5,2.7,2.6,2.7,2.3
regularMarketDayHigh,137.55,454.8,16025,5.938,3027,632,935,12.58,247.4,86.86,4.3935,500.8,199.46,251,21.18,40.67,153.4
regularMarketDayLow,135.6,448.5,15320,5.788,2984,617.7,926,11.88,241.8,85.6,4.35,486.6,195.76,242,20.86,40.37,148.6
regularMarketOpen,136.9,453.4,15320,5.788,3005,631.3,930,12.58,242.4,86.26,4.359,497,196.04,242.2,20.95,40.4,149
regularMarketPreviousClose,136.3,452.7,15450,5.766,2994,631.9,930,12.58,240.8,86.24,4.35,496.9,196.24,243,20.98,40.36,148
regularMarketPrice,137.45,452.1,15895,5.85,3008,624,934,12.38,246,86.58,4.3635,498,198.24,249.9,21.13,40.52,152.65
regularMarketVolume,973524,75214,15884,1644592,51205,162136,18103,52621,54310,1062915,4274378,150315,979429,239114,1420328,4947828,639039
returnOnAssets,-0.0013600001,0.0044400003,0.26274002,0.02352,0.102910005,0.02674,0.02224,-0.043119997,0.04379,0.04283,0.03183,0.06333,-0.0135699995,0.025339998,0.05736,0.03342,0.034930002
returnOnEquity,-0.03359,0.07711,0.60897,0.09473,0.23587,0.2796,0.15827,-0.057930004,0.1578,0.15898,0.096269995,0.13049,-0.23379,0.05441,0.39880002,0.02487,0.11108
revenueGrowth,-0.097,-0.073,0.371,0.12,0.769,1.518,0.089,-0.229,0.635,0.317,0.156,0.118,-0.293,0.206,0.086,0.029,0.241
revenuePerShare,52.227,139.474,4435.426,66.085,183.239,302.904,93.51,2.393,445.631,293.338,4.244,9.247,14.091,358.529,151.395,21.063,137.107
revenueQuarterlyGrowth,,,,,,,,,,,,,,,,,
sector,Financial Services,Financial Services,Industrials,Industrials,Healthcare,Utilities,Financial Services,Technology,Industrials,Industrials,Technology,Basic Materials,Industrials,Industrials,Consumer Defensive,Consumer Defensive,Healthcare
sharesOutstanding,850681024,64249900,7538330,622531968,65961600,420380992,27575400,25840000,57359700,545979008,5632300032,131602000,1009270016,56736200,535065984,1224930048,127750000
sharesPercentSharesOut,,,,,,,,,,,,,,,0.0097,0.0111,
sharesShort,,,,,,,,,,,,,,,5182140,13588066,
sharesShortPreviousMonthDate,,,,,,,,,,,,,,,1667174400,1667174400,
sharesShortPriorMonth,,,,,,,,,,,,,,,6547946,17123515,
shortName,Danske Bank A/S,Jyske Bank A/S,A.P. Møller - Mærsk B A/S,THYSSENKRUPP AG,Genmab A/S,ORSTED A/S,Ringkjøbing Landbobank A/S,ASETEK,DFDS A/S,Securitas AB ser. B,Nokia Corporation,Chr. Hansen Holding A/S,Vestas Wind Systems A/S,FLSmidth & Co. A/S,"Albertsons Companies, Inc.",The Kraft Heinz Company,GN Store Nord A/S
shortPercentOfFloat,,,,,,,,,,,,,,,0.0255,0.0195,
shortRatio,,,,,,,,,,,,,,,1.41,2.14,
startDate,,,,,,,,,,,,,,,,,
state,,,,,,,,,,,,,,,ID,PA,
strikePrice,,,,,,,,,,,,,,,,,
symbol,DANSKE.CO,JYSK.CO,MAERSK-B.CO,TKA.DE,GMAB.CO,ORSTED.CO,RILBA.CO,ASTK.OL,DFDS.CO,SECU-B.ST,NOKIA.HE,CHR.CO,VWS.CO,FLS.CO,ACI,KHC,GN.CO
targetHighPrice,212,610,26882,16,5300,1030,1120,,435,150,7,590.35,,350,42,49,515
targetLowPrice,113,415,13938.8,4,2150,505,830,,365,70,4.5,450.26,,110,21,36,115
targetMeanPrice,150.18,480,20832.7,8.43,3258.45,773.13,987.5,,396.67,96.44,5.79,519.37,,240,29.75,42.4,240.33
targetMedianPrice,149,460,20908.2,7.4,3150,800,1000,,390,88.65,5.8,528.23,,235,27.25,42,230
threeYearAverageReturn,,,,,,,,,,,,,,,,,
toCurrency,,,,,,,,,,,,,,,,,
totalAssets,,,,,,,,,,,,,,,,,
totalCash,920600969216,153447006208,8334000128,7648999936,23787999232,28220999680,4536783872,10995000,1452000000,5730999808,9543000064,82800000,1139000064,2271000064,3410400000,997000000,870000000
totalCashPerShare,1082.193,2388.243,464.322,12.287,364.682,67.165,167.273,0.467,25.348,15.719,1.704,0.629,1.129,40.027,6.374,0.814,6.799
totalDebt,1755687944192,460927008768,15523999744,3980999936,629000000,72806998016,9774239744,1772000,15674000384,59415998464,5693000192,963400000,2428000000,3270000128,14040599552,20235999232,16110999552
totalRevenue,44346998784,9251000320,82215002112,41139998720,11987000320,127263997952,2634168064,59261000,25457999872,123194998784,23875999744,1218000000,14254000128,20489000960,75341602816,25813000192,17517000704
tradeable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
trailingAnnualDividendRate,7.5,0,381,0.15,0,12.5,7,0,4,4.4,0.08,0.95,0.05,3,0.48,1.6,1.55
trailingAnnualDividendYield,0.055025678,0,0.024660194,0.02601457,0,0.01978161,0.0075268815,0,0.016611295,0.05102041,0.018390805,0.0019118534,0.00025479004,0.012345679,0.022878932,0.03964321,0.010472973
trailingEps,13.1,42.67,11442.83,1.38,86.05,43.3,49.33,0.48,32.77,8.44,0.3,12.75,-3.889,11.21,2.89,0.98,5.23
trailingPE,10.492366,10.595266,1.3890795,4.2391305,34.95642,14.411086,18.93371,25.791668,7.506866,10.258294,14.545,39.058823,,22.292595,7.311418,41.34694,29.18738
trailingPegRatio,2.198,,,,1.1247,6.0594,,,,,8.3301,3.6236,2.2106,,1.4441,2.912,1.2433
twoHundredDayAverage,109.5168,389.171,17636.176,6.24265,2596.8325,727.683,827.685,20.0175,249.4445,94.775925,4.71839,469.293,174.68526,192.2445,27.33655,38.32415,221.26
volume,973524,75214,15884,1644592,51205,162136,18103,52621,54310,1062915,4274378,150315,979429,239114,1420328,4947828,639039
volume24Hr,,,,,,,,,,,,,,,,,
volumeAllCurrencies,,,,,,,,,,,,,,,,,
website,https://www.danskebank.com,https://www.jyskebank.dk,https://www.maersk.com,https://www.thyssenkrupp.com,https://www.genmab.com,https://www.orsted.com,https://www.landbobanken.dk,https://asetek.com,https://www.dfds.com,https://www.securitas.com,https://www.nokia.com,https://www.chr-hansen.com,https://www.vestas.com,https://www.flsmidth.com,https://www.albertsonscompanies.com,https://www.kraftheinzcompany.com,https://www.gn.com
yield,,,,,,,,,,,,,,,,,
ytdReturn,,,,,,,,,,,,,,,,,
zip,1092,8600,1098,45143,1560,7000,6950,9220,2100,102 28,02610,2970,8200,2500,83706,15222,2750
